names,date,score,genre,country
Jurassic World Dominion,6/9/2022,69,"Adventure, Action, Science Fiction",AU
The Boss Baby: Christmas Bonus,12/6/2022,68,"Animation, Family, Adventure",US
Shazam!,4/4/2019,70,"Action, Comedy, Fantasy",AU
El último hombre sobre la Tierra,12/22/2022,65,Comedy,CO
All Quiet on the Western Front,10/13/2022,78,"Drama, War, History",AU
Violent Night,12/1/2022,76,"Action, Comedy, Crime, Thriller",AU
Scream,1/13/2022,67,"Horror, Mystery, Thriller",AU
Scream,1/13/2022,67,"Horror, Mystery, Thriller",AU
Devotion,1/20/2023,74,"War, History, Drama",AU
The Woman King,10/27/2022,78,"Action, Drama, History",AU
Evil Dead Rise,4/20/2023,74,"Horror, Thriller",AU
Perfect Addiction,2/16/2023,67,"Drama, Romance, Action",DE
Project Gemini,1/6/2022,58,"Science Fiction, Horror",RU
Doctor Strange in the Multiverse of Madness,5/5/2022,74,"Fantasy, Action, Adventure",AU
There Are No Saints,7/1/2022,53,"Action, Mystery, Thriller",AU
Avengers: Infinity War,4/25/2018,83,"Adventure, Action, Science Fiction",AU
Smile,9/23/2022,68,"Horror, Mystery, Thriller",AU
¡Que Viva México!,3/23/2023,47,Comedy,MX
Detective Knight: Independence,1/20/2023,56,"Action, Crime, Thriller",US
Strange World,11/24/2022,65,"Animation, Family, Adventure, Science Fiction",AU
The Ten Commandments,12/12/1958,78,"Drama, History",AU
The Ten Commandments,12/12/1958,78,"Drama, History",AU
Demon Slayer: Kimetsu no Yaiba Sibling's Bond,3/29/2019,80,"Action, Animation, Fantasy",JP
Four's a Crowd,10/28/2022,63,Comedy,ES
Minions: The Rise of Gru,7/4/2022,75,"Animation, Comedy, Family",AU
Creed II,12/6/2018,70,Drama,AU
Creed,11/26/2015,74,Drama,AU
Beast,8/25/2022,68,"Thriller, Action, Horror, Adventure",AU
Fast X,5/19/2023,0,"Action, Crime, Thriller",US
My Name Is Vendetta,11/30/2022,68,"Action, Crime, Thriller",AU
Wrath of Man,4/29/2021,77,"Action, Crime, Thriller",AU
Jeepers Creepers: Reborn,9/22/2022,57,"Horror, Thriller, Mystery",AU
Turning Red,3/11/2022,75,"Animation, Family, Comedy, Fantasy",AU
Encanto,11/28/2021,76,"Animation, Comedy, Family, Fantasy",AU
Prancer: A Christmas Tale,11/22/2022,59,"Family, Fantasy",US
Magic Mike's Last Dance,2/9/2023,72,"Comedy, Drama, Romance",AU
"Lyle, Lyle, Crocodile",12/26/2022,75,"Comedy, Family, Music",AU
The Penitent Thief,2/25/2021,62,Drama,AU
Hacksaw Ridge,10/7/2016,82,"Drama, History, War",AU
Venus,12/2/2022,55,"Drama, Horror, Thriller",ES
The Offering,9/23/2022,57,Horror,US
Jujutsu Kaisen 0,3/17/2022,82,"Animation, Action, Fantasy",AU
The Batman,3/2/2022,77,"Crime, Mystery, Thriller",AU
Life in a Year,11/27/2020,83,"Drama, Romance",US
Super Mario Brothers: Great Mission to Rescue Princess Peach,7/20/1986,60,"Animation, Comedy, Fantasy",JP
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",12/26/2005,71,"Adventure, Family, Fantasy",AU
